Aada;Aado
Teodoz;Teodozi
Teodozie;Teodozie
Teofil;Teofile
Tereza;Terezo
Thea;Theo
Theon;Theone
Thor;Thore
Tiber;Tibere
Tichomil;Tichomile
Tichon;Tichone
Tichých;Tichých
Tim;Time
Timotej;Timoteji
Tinna;Tinno
Titus;Tite
Tolstoj;Tolstý
Tomáš;Tomáši
Tommen;Tommene
Torben;Torbene
Torkvát;Torkváte
Toska;Tosko
Tristan;Tristane
Tyrion;Tyrione
Ulrich;Ulrichu
Una;Uno
Unger;Ungře
Urban;Urbane
Václav;Václave
Václava;Václavo
Valdemar;Valdemare
Valdemara;Valdemaro
Valerián;Valeriáne
Valérie;Valérie
Vanesa;Vaneso
Vanessa;Vanesso
Vargai;Vargaii
Varys;Varysi
Vasil;Vasile
Vašek;Vašku
Veera;Veero
Veeti;Veetii
Vega;Vego
Veleslav;Veleslave
Veleslava;Veleslavo
Věnceslav;Věnceslave
Vendelína;Vendelíno
Venla;Venlo
Venus;Venero
Venuše;Venuše
Vepřek;Vepřku
Verner;Vernere
Veronika;Veroniko
Vesna;Vesno
Victor;Victore
Victoria;Victorie
Vidor;Vidore
Viktor;Viktore
Viktoría;Viktorío
Vilém;Viléme
Viljami;Viljami
Vilma;Vilmo
Vilmar;Vilmare
Vincenc;Vincenci
Vincent;Vincente
Viola;Violo
Virgil;Virgile
Vít;Víte
Víta;Víto
Vitold;Vitolde
Viviana;Viviano
Vladan;Vladane
Vladimíra;Vladimíro
Vladislav;Vladislave
Vlasta;Vlasto
Vlastimil;Vlastimile
Vlastimíra;Vlastimíro
Vlastislav;Vlastislave
Vojen;Vojene
Vojmír;Vojmíre
Vojmíra;Vojmíro
Vojta;Vojto
Vojtěch;Vojtěchu
Vojtěška;Vojtěško
Vratislav;Vratislave
Vratislava;Vratislavo
Všebor;Všebore
Všeslav;Všeslave
Vůl;Vole
Weasley;Weasley
White;White
Will;Wille
William;Williame
Wilma;Wilmo
Winter;Winteri
Wolker;Wolkře
Wolowitz;Wolowitzi
Xenie;Xenie
Xerxes;Xerxi
Ygritte;Ygritte
Yves;Yvesi
Zack;Zacku
Zachar;Zachare
Zaira;Zairo
Zavřel;Zavřeli
Zbygněv;Zbygněve
Zbyhněv;Zbyhněve
Zbyslav;Zbyslave
